epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421434661,2018-10-24T18.50.34.661,29.162,-0.002048000,-0.002048000,-0.000475312
1540421434762,2018-10-24T18.50.34.762,29.263,-0.002048000,-0.002048000,-0.000470063
1540421434863,2018-10-24T18.50.34.863,29.364,-0.002048000,-0.002048000,-0.000472063
1540421434964,2018-10-24T18.50.34.964,29.465,-0.002048000,-0.002048000,-0.000482187
1540421435065,2018-10-24T18.50.35.065,29.566,-0.002048000,-0.002048000,-0.000492750
1540421435165,2018-10-24T18.50.35.165,29.666,-0.002048000,-0.002048000,-0.000498500
1540421435266,2018-10-24T18.50.35.266,29.767,-0.002048000,-0.002048000,-0.000499812
1540421435367,2018-10-24T18.50.35.367,29.868,-0.002048000,-0.002048000,-0.000493375
1540421435468,2018-10-24T18.50.35.468,29.969,-0.002048000,-0.002048000,-0.000491688
1540421435569,2018-10-24T18.50.35.569,30.070,-0.002048000,-0.002048000,-0.000487062
