epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421419339,2018-10-24T18.50.19.339,14.798,-0.002048000,-0.002048000,-0.000938062
1540421419439,2018-10-24T18.50.19.439,14.898,-0.002048000,-0.002048000,-0.000940687
1540421419538,2018-10-24T18.50.19.538,14.997,-0.002048000,-0.002048000,-0.000939375
1540421419638,2018-10-24T18.50.19.638,15.097,-0.002048000,-0.002048000,-0.000934750
1540421419736,2018-10-24T18.50.19.736,15.195,-0.002048000,-0.002048000,-0.000935000
1540421419836,2018-10-24T18.50.19.836,15.295,-0.002048000,-0.002048000,-0.000934375
1540421419935,2018-10-24T18.50.19.935,15.394,-0.002048000,-0.002048000,-0.000931563
1540421420035,2018-10-24T18.50.20.035,15.494,-0.002048000,-0.002048000,-0.000933437
1540421420135,2018-10-24T18.50.20.135,15.594,-0.002048000,-0.002048000,-0.000934000
1540421420233,2018-10-24T18.50.20.233,15.692,-0.002048000,-0.002048000,-0.000939313
1540421420332,2018-10-24T18.50.20.332,15.791,-0.002048000,-0.002048000,-0.000936688
1540421420432,2018-10-24T18.50.20.432,15.891,-0.002048000,-0.002048000,-0.000931187
1540421420531,2018-10-24T18.50.20.531,15.990,-0.002048000,-0.002048000,-0.000924375
1540421420631,2018-10-24T18.50.20.631,16.090,-0.002048000,-0.002048000,-0.000923687
1540421420729,2018-10-24T18.50.20.729,16.188,-0.002048000,-0.002048000,-0.000918063
1540421420829,2018-10-24T18.50.20.829,16.288,-0.002048000,-0.002048000,-0.000916313
1540421420928,2018-10-24T18.50.20.928,16.387,-0.002048000,-0.002048000,-0.000918625
1540421421028,2018-10-24T18.50.21.028,16.487,-0.002048000,-0.002048000,-0.000918063
1540421421128,2018-10-24T18.50.21.128,16.587,-0.002048000,-0.002048000,-0.000913875
1540421421226,2018-10-24T18.50.21.226,16.685,-0.002048000,-0.002048000,-0.000905188
1540421421325,2018-10-24T18.50.21.325,16.784,-0.002048000,-0.002048000,-0.000900062
1540421421425,2018-10-24T18.50.21.425,16.884,-0.002048000,-0.002048000,-0.000899500
1540421421525,2018-10-24T18.50.21.525,16.984,-0.002048000,-0.002048000,-0.000901375
1540421421623,2018-10-24T18.50.21.623,17.082,-0.002048000,-0.002048000,-0.000903313
1540421421722,2018-10-24T18.50.21.722,17.181,-0.002048000,-0.002048000,-0.000903313
1540421421822,2018-10-24T18.50.21.822,17.281,-0.002048000,-0.002048000,-0.000902500
1540421421922,2018-10-24T18.50.21.922,17.381,-0.002048000,-0.002048000,-0.000901375
1540421422021,2018-10-24T18.50.22.021,17.480,-0.002048000,-0.002048000,-0.000895500
1540421422119,2018-10-24T18.50.22.119,17.578,-0.002048000,-0.002048000,-0.000888125
1540421422219,2018-10-24T18.50.22.219,17.678,-0.002048000,-0.002048000,-0.000881000
1540421422319,2018-10-24T18.50.22.319,17.778,-0.002048000,-0.002048000,-0.000882188
1540421422418,2018-10-24T18.50.22.418,17.877,-0.002048000,-0.002048000,-0.000889250
1540421422518,2018-10-24T18.50.22.518,17.977,-0.002048000,-0.002048000,-0.000889875
1540421422616,2018-10-24T18.50.22.616,18.075,-0.002048000,-0.002048000,-0.000890625
1540421422716,2018-10-24T18.50.22.716,18.175,-0.002048000,-0.002048000,-0.000889500
1540421422815,2018-10-24T18.50.22.815,18.274,-0.002048000,-0.002048000,-0.000890375
1540421422915,2018-10-24T18.50.22.915,18.374,-0.002048000,-0.002048000,-0.000891000
1540421423014,2018-10-24T18.50.23.014,18.473,-0.002048000,-0.002048000,-0.000890688
1540421423113,2018-10-24T18.50.23.113,18.572,-0.002048000,-0.002048000,-0.000889500
1540421423212,2018-10-24T18.50.23.212,18.671,-0.002048000,-0.002048000,-0.000885437
1540421423312,2018-10-24T18.50.23.312,18.771,-0.002048000,-0.002048000,-0.000884500
1540421423411,2018-10-24T18.50.23.411,18.870,-0.002048000,-0.002048000,-0.000868500
1540421423511,2018-10-24T18.50.23.511,18.970,-0.002048000,-0.002048000,-0.000856313
1540421423609,2018-10-24T18.50.23.609,19.068,-0.002048000,-0.002048000,-0.000850938
1540421423709,2018-10-24T18.50.23.709,19.168,-0.002048000,-0.002048000,-0.001085688
1540421423808,2018-10-24T18.50.23.808,19.267,-0.002048000,-0.002048000,-0.000949125
1540421423908,2018-10-24T18.50.23.908,19.367,-0.002048000,-0.002048000,-0.000930688
1540421424006,2018-10-24T18.50.24.006,19.465,-0.002048000,-0.002048000,-0.000925000
1540421424106,2018-10-24T18.50.24.106,19.565,-0.002048000,-0.002048000,-0.000923437
1540421424205,2018-10-24T18.50.24.205,19.664,-0.002048000,-0.002048000,-0.000921688
1540421424305,2018-10-24T18.50.24.305,19.764,-0.002048000,-0.002048000,-0.000918063
1540421424405,2018-10-24T18.50.24.405,19.864,-0.002048000,-0.002048000,-0.000924250
1540421424503,2018-10-24T18.50.24.503,19.962,-0.002048000,-0.002048000,-0.000911750
1540421424602,2018-10-24T18.50.24.602,20.061,-0.002048000,-0.002048000,-0.000905562
1540421424702,2018-10-24T18.50.24.702,20.161,-0.002048000,-0.002048000,-0.000904750
1540421424802,2018-10-24T18.50.24.802,20.261,-0.002048000,-0.002048000,-0.000901563
1540421424901,2018-10-24T18.50.24.901,20.360,-0.002048000,-0.002048000,-0.000898875
1540421424999,2018-10-24T18.50.24.999,20.458,-0.002048000,-0.002048000,-0.000900625
1540421425099,2018-10-24T18.50.25.099,20.558,-0.002048000,-0.002048000,-0.000900187
1540421425198,2018-10-24T18.50.25.198,20.657,-0.002048000,-0.002048000,-0.000899812
1540421425298,2018-10-24T18.50.25.298,20.757,-0.002048000,-0.002048000,-0.000900187
1540421425396,2018-10-24T18.50.25.396,20.855,-0.002048000,-0.002048000,-0.000898312
1540421425496,2018-10-24T18.50.25.496,20.955,-0.002048000,-0.002048000,-0.000898625
1540421425595,2018-10-24T18.50.25.595,21.054,-0.002048000,-0.002048000,-0.000897938
1540421425695,2018-10-24T18.50.25.695,21.154,-0.002048000,-0.002048000,-0.000907500
1540421425795,2018-10-24T18.50.25.795,21.254,-0.002048000,-0.002048000,-0.000917313
