epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421426354,2018-10-24T18.50.26.354,21.674,-0.002048000,-0.002048000,-0.000035000
1540421426453,2018-10-24T18.50.26.453,21.773,-0.002048000,-0.002048000,-0.000034625
1540421426553,2018-10-24T18.50.26.553,21.873,-0.002048000,-0.002048000,-0.000035375
1540421426653,2018-10-24T18.50.26.653,21.973,-0.002048000,-0.002048000,-0.000035000
1540421426752,2018-10-24T18.50.26.752,22.072,-0.002048000,-0.002048000,-0.000034625
1540421426852,2018-10-24T18.50.26.852,22.172,-0.002048000,-0.002048000,-0.000035000
1540421426951,2018-10-24T18.50.26.951,22.271,-0.002048000,-0.002048000,-0.000035375
1540421427050,2018-10-24T18.50.27.050,22.370,-0.002048000,-0.002048000,-0.000035375
1540421427149,2018-10-24T18.50.27.149,22.469,-0.002048000,-0.002048000,-0.000035375
1540421427249,2018-10-24T18.50.27.249,22.569,-0.002048000,-0.002048000,-0.000036125
1540421427348,2018-10-24T18.50.27.348,22.668,-0.002048000,-0.002048000,-0.000036500
1540421427448,2018-10-24T18.50.27.448,22.768,-0.002048000,-0.002048000,-0.000036500
1540421427548,2018-10-24T18.50.27.548,22.868,-0.002048000,-0.002048000,-0.000036500
1540421427647,2018-10-24T18.50.27.647,22.967,-0.002048000,-0.002048000,-0.000037250
1540421427745,2018-10-24T18.50.27.745,23.065,-0.002048000,-0.002048000,-0.000036125
1540421427845,2018-10-24T18.50.27.845,23.165,-0.002048000,-0.002048000,-0.000037250
1540421427945,2018-10-24T18.50.27.945,23.265,-0.002048000,-0.002048000,-0.000036500
1540421428044,2018-10-24T18.50.28.044,23.364,-0.002048000,-0.002048000,-0.000035375
1540421428144,2018-10-24T18.50.28.144,23.464,-0.002048000,-0.002048000,-0.000035750
1540421428243,2018-10-24T18.50.28.243,23.563,-0.002048000,-0.002048000,-0.000034625
1540421428343,2018-10-24T18.50.28.343,23.663,-0.002048000,-0.002048000,-0.000033875
1540421428443,2018-10-24T18.50.28.443,23.763,-0.002048000,-0.002048000,-0.000033500
1540421428541,2018-10-24T18.50.28.541,23.861,-0.002048000,-0.002048000,-0.000032375
1540421428640,2018-10-24T18.50.28.640,23.960,-0.002048000,-0.002048000,-0.000032750
1540421428740,2018-10-24T18.50.28.740,24.060,-0.002048000,-0.002048000,-0.000032375
1540421428840,2018-10-24T18.50.28.840,24.160,-0.002048000,-0.002048000,-0.000031188
1540421428939,2018-10-24T18.50.28.939,24.259,-0.002048000,-0.002048000,-0.000030813
1540421429039,2018-10-24T18.50.29.039,24.359,-0.002048000,-0.002048000,-0.000030813
1540421429138,2018-10-24T18.50.29.138,24.458,-0.002048000,-0.002048000,-0.000030500
1540421429237,2018-10-24T18.50.29.237,24.557,-0.002048000,-0.002048000,-0.000030438
1540421429336,2018-10-24T18.50.29.336,24.656,-0.002048000,-0.002048000,-0.000030500
1540421429436,2018-10-24T18.50.29.436,24.756,-0.002048000,-0.002048000,-0.000029375
1540421429535,2018-10-24T18.50.29.535,24.855,-0.002048000,-0.002048000,-0.000028625
1540421429635,2018-10-24T18.50.29.635,24.955,-0.002048000,-0.002048000,-0.000030062
1540421429735,2018-10-24T18.50.29.735,25.055,-0.002048000,-0.002048000,-0.000025563
1540421429834,2018-10-24T18.50.29.834,25.154,-0.002048000,-0.002048000,-0.000019188
1540421429934,2018-10-24T18.50.29.934,25.254,-0.002048000,-0.002048000,-0.000026687
1540421430032,2018-10-24T18.50.30.032,25.352,-0.002048000,-0.002048000,-0.000036875
1540421430132,2018-10-24T18.50.30.132,25.452,-0.002048000,-0.002048000,-0.000041375
1540421430231,2018-10-24T18.50.30.231,25.551,-0.002048000,-0.002048000,-0.000039125
1540421430331,2018-10-24T18.50.30.331,25.651,-0.002048000,-0.002048000,-0.000035375
1540421430430,2018-10-24T18.50.30.430,25.750,-0.002048000,-0.002048000,-0.000033875
1540421430530,2018-10-24T18.50.30.530,25.850,-0.002048000,-0.002048000,-0.000031625
1540421430630,2018-10-24T18.50.30.630,25.950,-0.002048000,-0.002048000,-0.000027063
1540421430728,2018-10-24T18.50.30.728,26.048,-0.002048000,-0.002048000,-0.000021813
1540421430827,2018-10-24T18.50.30.827,26.147,-0.002048000,-0.002048000,-0.000015063
1540421430927,2018-10-24T18.50.30.927,26.247,-0.002048000,-0.002048000,-0.000009375
1540421431027,2018-10-24T18.50.31.027,26.347,-0.002048000,-0.002048000,-0.000012750
1540421431126,2018-10-24T18.50.31.126,26.446,-0.002048000,-0.002048000,-0.000024812
1540421431226,2018-10-24T18.50.31.226,26.546,-0.002048000,-0.002048000,-0.000039125
1540421431325,2018-10-24T18.50.31.325,26.645,-0.002048000,-0.002048000,-0.000037250
1540421431424,2018-10-24T18.50.31.424,26.744,-0.002048000,-0.002048000,-0.000031250
1540421431523,2018-10-24T18.50.31.523,26.843,-0.002048000,-0.002048000,-0.000028562
1540421431623,2018-10-24T18.50.31.623,26.943,-0.002048000,-0.002048000,-0.000024438
1540421431722,2018-10-24T18.50.31.722,27.042,-0.002048000,-0.002048000,-0.000021063
1540421431822,2018-10-24T18.50.31.822,27.142,-0.002048000,-0.002048000,-0.000015063
1540421431922,2018-10-24T18.50.31.922,27.242,-0.002048000,-0.002048000,-0.000013125
1540421432021,2018-10-24T18.50.32.021,27.341,-0.002048000,-0.002048000,-0.000019188
1540421432119,2018-10-24T18.50.32.119,27.439,-0.002048000,-0.002048000,-0.000031625
1540421432219,2018-10-24T18.50.32.219,27.539,-0.002048000,-0.002048000,-0.000048187
1540421432319,2018-10-24T18.50.32.319,27.639,-0.002048000,-0.002048000,-0.000051562
1540421432418,2018-10-24T18.50.32.418,27.738,-0.002048000,-0.002048000,-0.000044375
1540421432518,2018-10-24T18.50.32.518,27.838,-0.002048000,-0.002048000,-0.000043625
1540421432617,2018-10-24T18.50.32.617,27.937,-0.002048000,-0.002048000,-0.000041000
1540421432717,2018-10-24T18.50.32.717,28.037,-0.002048000,-0.002048000,-0.000037625
1540421432815,2018-10-24T18.50.32.815,28.135,-0.002048000,-0.002048000,-0.000033875
1540421432915,2018-10-24T18.50.32.915,28.235,-0.002048000,-0.002048000,-0.000032750
1540421433014,2018-10-24T18.50.33.014,28.334,-0.002048000,-0.002048000,-0.000029000
1540421433114,2018-10-24T18.50.33.114,28.434,-0.002048000,-0.002048000,-0.000033875
1540421433214,2018-10-24T18.50.33.214,28.534,-0.002048000,-0.002048000,-0.000041375
1540421433313,2018-10-24T18.50.33.313,28.633,-0.002048000,-0.002048000,-0.000045500
1540421433413,2018-10-24T18.50.33.413,28.733,-0.002048000,-0.002048000,-0.000036500
1540421433512,2018-10-24T18.50.33.512,28.832,-0.002048000,-0.002048000,-0.000033125
1540421433611,2018-10-24T18.50.33.611,28.931,-0.002048000,-0.002048000,-0.000032000
1540421433710,2018-10-24T18.50.33.710,29.030,-0.002048000,-0.002048000,-0.000029688
1540421433810,2018-10-24T18.50.33.810,29.130,-0.002048000,-0.002048000,-0.000026000
1540421433909,2018-10-24T18.50.33.909,29.229,-0.002048000,-0.002048000,-0.000024062
1540421434009,2018-10-24T18.50.34.009,29.329,-0.002048000,-0.002048000,-0.000029000
1540421434109,2018-10-24T18.50.34.109,29.429,-0.002048000,-0.002048000,-0.000045563
1540421434208,2018-10-24T18.50.34.208,29.528,-0.002048000,-0.002048000,-0.000062875
1540421434306,2018-10-24T18.50.34.306,29.626,-0.002048000,-0.002048000,-0.000073437
